id	qid1	qid2	question1	question2	is_duplicate
0	9959	2538	hola , hago clic en el producto recibido	compré un producto y no he recibido un correo electrónico de confirmación	0
1	7143	8962	¡ hola !	no obtuve el reembolso de mi dinero .	0
2	5561	11054	ordené de españa a españa ahora que mandan el pedido de china ?	mi pedido llegó pero el color es diferente al que pedí .	0
3	4445	7636	¿ debo pagar impuestos personalizados ?	cómo pagar los derechos de aduana	1
4	9236	13575	no recibí mi pedido ?	mi pedido muestra que no he pagado , pero lo hice	0
5	590	15	hola eva al principio la pregunta .	¿ cómo puedo escribir comentarios para los productos ?	0
6	3276	11137	estoy tan enojado	abrí una disputa y hasta ahora nada	0
7	11011	5447	no puedo abrir una disputa	no puedo rastrear .	0
8	8522	6509	¿ cómo puedo verificar el número de pedido ?	¿ dónde puedo ver el número de mi rastreador de pedidos ?	0
9	13183	8716	no , necesito una respuesta tuya .	necesito una factura por este artículo que te compré	0
10	11899	7426	cómo responder a una disputa	¿ cómo respondo a los comentarios ?	0
11	3483	5871	no vivo en china , vivo brasil	quiero contacto en vivo ahora	0
12	1969	733	¿ qué significa su orden será cerrada ?	orden de seguimiento qué significa colección	0
13	9523	8612	cómo intercambiar monedas	¿ cómo cambiar mis monedas por cupón ?	1
14	2853	10906	¿ cómo informo a un vendedor de fraude ?	quiero informar al vendedor	1
15	1750	11082	hola , quiero comprar algo , pero el vendedor tiene que ajustar el precio , mi sistema funciona automáticamente y no permite que el vendedor se ajuste , por favor ayuda	hola necesito decirte algo sobre mi orden	0
16	9897	1393	¿ cómo puedo saber si mi pedido ha sido enviado ?	¿ cómo puedo saber si mi pedido fue enviado ?	1
17	8813	8820	cancelé mi pedido con el vendedor ya	ya pagué mi pedido	0
18	5561	4224	ordené de españa a españa ahora que mandan el pedido de china ?	soy un proveedor de china	0
19	3371	387	quiero hacer compras cómo comprar	vendré a verte mañana	0
20	9912	3426	hola , vivo en canadá y actualmente estoy rastreando mi paquete y el estado dice que ha llegado al país de destino pero dice que está en estambul .	¿ cuándo puedo recibir mi paquete después de enviar el producto ?	0
21	6116	10655	la promoción comenzó , pero ¿ por qué el precio del producto no cambió ?	¿ por qué el precio de la promoción no se cambia ?	1
22	1465	12102	el número de color era l	¿ cómo puedo ver mi mensaje ?	0
23	6226	3875	he hecho todo el seguimiento	tengo una disputa y la compañía no ha hecho nada para resolver el problema	0
24	2207	4084	mis formularios y documentos no van	¿ cuándo recibiré mis pedidos ?	0
25	3557	4298	cómo hacer un pedido	¿ cómo hago el pedido ?	1
26	7328	4679	imposible unirse a la atención al cliente de contacto	¿ cómo puedo contactar al servicio de atención al cliente ?	1
27	3371	6254	quiero hacer compras cómo comprar	¿ qué es un carrito de compras ?	0
28	11011	9463	no puedo abrir una disputa	no puedo adjuntar una foto para una disputa	0
29	10361	2928	mi pedido no está siendo procesado	mi tarjeta de débito no está siendo aceptada	0
30	11517	10365	por favor , el plazo de la protección de compra ha terminado , ¿ puede devolver mi dinero ?	¿ cómo devuelves dinero si los bienes no se reciben ?	1
31	6600	13292	no has iniciado sesión o tu sesión anterior ha expirado .	¿ por qué dice que el proveedor le ha enviado un mensaje en su pedido ?	0
32	6934	3947	es tu sitio seguro	mi proveedor ha desaparecido de su sitio	0
33	7009	2235	acabo de recibir un correo electrónico que dice que tengo que devolver la batería y pagar el franqueo de devolución para obtener un reembolso , no es mi culpa recibir el artículo incorrecto , por lo tanto , el vendedor debe enviarme un mensaje de vuelta .	recibí un correo electrónico diciendo que tengo un mensaje para mi pedido , pero no hay ninguno .	0
34	1772	13215	ok por favor contáctame con otras personas	¿ puedo contactar a otros compradores ?	0
35	12530	12309	cómo eliminar mensajes en la aplicación	¿ cómo eliminar las cookies ?	0
36	3691	945	cancelar mi orden	mi vendedor no cancelará mi pedido .	0
37	10458	6061	querida , tengo que pagar una gran cantidad , pero no tengo los comentarios adecuados	¿ cómo consulto a un vendedor si no tiene comentarios ?	0
38	4032	6696	han pasado NUMs días y no veo ninguna actualización en mi pedido	¿ por qué no veo ningún registro de mi pedido ?	0
39	5204	10433	¿ cómo extiendo la protección del comprador ?	¿ cómo puedo ser elegible para la protección del comprador ?	0
40	3531	7567	hola , me gustaría saber si un vendedor necesita que le envíe de vuelta , ¿ cómo me reembolsa las tarifas de envío más el costo del vestido , ya que estoy usando el correo registrado en singapur ?	es caro para mí enviar el bien de vuelta	1
41	4298	2517	¿ cómo hago el pedido ?	¿ cómo realizo un seguimiento de mi pedido ?	0
42	2784	12422	podría ayudarme	háblame	0
43	2661	2538	nunca he comprado nada	compré un producto y no he recibido un correo electrónico de confirmación	0
44	1943	12436	cómo subir una foto	no puedo subir documentos	1
45	382	8414	quiero zapatos más anchos para caminar , el ancho debe ser e , ee , eee , eeee	quiero ser cancelado de todos los correos electrónicos	0
46	6127	2394	toma demasiado tiempo	cuánto tiempo tardará el envío	0
47	4243	13536	no puedo pagar con transferencia bancaria	estoy tratando de hacer un pago por transferencia bancaria , pero no puedo	1
48	1303	4401	hola , dinero , quiero hacer lo que tengo que hacer , lo que tengo que hacer	¿ qué garantías tengo para comprar aquí ?	0
49	10613	4424	puse la autorización y se aprobó , pero todavía no funciona	cuándo se aprobará el reembolso y cuándo lo recibiré .	0
50	9344	5101	cómo abrir una disputa en la aplicación	¿ cómo puedo abrir una disputa si la orden está completa ?	0
51	10590	7310	por favor lea arriba	¿ cómo puedo leer los comentarios escritos sobre mí ?	0
52	11581	6462	cómo cancelar la disputa ?	¿ cómo cancelo una disputa ?	1
53	11601	6774	el vendedor anuncia un precio incorrecto	el vendedor ha enviado las mercancías en el índice incorrecto	0
54	12446	12505	recuperar monedas de la aplicación	¿ cómo recupero un pedido eliminado por error ?	0
55	4247	10526	no puedo usar un cupón u obtener descuento .	¿ cómo puedo obtener el descuento ?	0
56	8713	10185	necesito encontrar mi información de pago	necesito información sobre el pago de western union	0
57	5937	688	no recibí mi reembolso	¿ por qué no recibí el reembolso ?	1
58	11118	5853	trato el reembolso y devuelvo el producto .	¿ puedo enviar mis productos a china ?	0
59	5571	3076	quiero ser vendedor	quiero un reembolso completo , pero el vendedor no estará de acuerdo	0
60	12451	5987	otras órdenes llegaron a tiempo	artículo no llegado	1
61	9658	13423	mi preocupación es conocer el progreso de mi pedido .	quiero saber cómo es mi pedido ?	1
62	11406	1266	cómo configurar mi moneda	cómo el convertidor de moneda	0
63	12306	4300	quiero el dinero tan pronto como no lo intente de nuevo o compre algo de usted	¿ ofrecen información de envío si compro de usted ?	0
64	9558	12872	hola .	presioné el botón pagar ahora NUMs veces .	0
65	4197	1116	y la razón se debe a la razón de seguridad por la que suspendieron mi cuenta	cómo verificar el motivo de la disputa	0
66	12530	13434	cómo eliminar mensajes en la aplicación	cómo eliminar la orden paga	0
67	1754	12212	cómo subir evidencia en disputa	no sé cómo subir fotos	0
68	11612	4539	¿ puedo chatear con una persona ?	puedo chatear con una persona real	1
69	6241	5603	necesito un cambio puede enviar un correo electrónico porque no localizo mi correo electrónico y necesito comprar	necesito tu dirección de correo electrónico	0
70	7143	13281	¡ hola !	necesito tu ayuda anna	0
71	8518	2004	por favor borre las cookies en su navegador ?	por favor dame tu correo electrónico de soporte para tu sitio	0
72	12055	11609	no sé el problema	no sé tu sitio web	0
73	2044	3342	y yo también	la tarifa de envío es demasiado alta para mí	0
74	1516	2131	cómo buscar buen vendedor	¿ cómo borrar mi historial de búsqueda ?	0
75	6051	6096	he pagado por mi producto	he pagado	1
76	11691	7531	cómo vincular mi tarjeta ?	no recibí un enlace de verificación en mi correo electrónico	0
77	8774	8137	cómo abrir una disputa	¿ cómo abrir el estuche ?	0
78	8841	1958	no me está dando la respuesta correcta necesito los diez artículos principales que vendí en NUMs 	no me responderás .	0
79	2580	1404	quiero comprar algo producto pero no sé cómo pagar dinero	quiero pagarle al vendedor	1
80	6160	4942	cómo dejar comentarios al vendedor	¿ cómo dejar un comentario anónimo ?	0
81	9076	4075	¿ cómo veo el cupón ?	¿ cómo obtengo un cupón ?	0
82	10170	9069	cuando mi paga sea cancelada	¿ cuándo recibiré mi reembolso por el pedido cancelado ?	0
83	9425	7937	presenté mi apelación hace NUMs días y no tuve ninguna respuesta	envié dinero hace NUMs días y el estado no cambió	0
84	13600	12742	me cobraron por un artículo que pensé que había comprado pero nunca lo recibí y no puedo encontrar rastro de mis pedidos	nunca he recibido el producto comprado	0
85	13220	11878	he ordenado con una dirección de correo electrónico incorrecta	he ingresado una dirección de entrega incorrecta	0
86	11413	13148	quiero cambiar el tamaño	quiero saber el tamaño en brasil	0
87	5251	6649	¿ cómo puedo informar al vendedor de fraude ?	recibí un correo electrónico con un aviso de que el vendedor es sospechoso de un problema de fraude .	0
88	12867	6370	incapaz de encontrar la dirección	incapaz de obtener respuesta del vendedor	0
89	8690	12315	no tengo un número de seguimiento .	estoy tratando de ordenar y no está funcionando	1
90	5460	13007	si su pedido muestra ' pedido cancelado ' , significa	pagué un pedido pero sigue mostrando el mismo estado	0
91	31	8114	leer mi pregunta antes de responder por favor	quiero leer los comentarios escritos sobre mi pedido	0
92	11531	12629	entonces , ¿ dónde puedo encontrar cupones que me intercambió ?	donde puedo ver mis cupones ?	1
93	6697	12218	pero uso cajero automático	si quiero usar un cupón	0
94	5390	6287	envío rápido de mensajería	hablas muy rápido	0
95	4260	3641	cómo encontrar un vendedor confiable	¿ puedo encontrar un vendedor verificado ?	0
96	11837	1066	alguien más sabe vietnamita ?	quiero saber sobre el proceso de western union para comprar	0
