id	qid1	qid2	question1	question2	is_duplicate
0	4010	11940	hola , hago clic en el producto recibido	compré un producto y no he recibido un correo electrónico de confirmación	0
1	13003	7092	¡ hola ! cerré la disputa el NUMs de mayo de NUMs y dice que se realizará el reembolso . ¿ cuándo se reembolsará el dinero ?	no obtuve el reembolso de mi dinero . han pasado dos meses . ¿ cuándo devolverá dinero ?	0
2	9782	8573	ordené de españa a españa ahora que mandan el pedido de china ?	mi pedido llegó pero el color es diferente a el que pedí .	0
3	4643	6412	¿ debo pagar impuestos personalizados ?	cómo pagar los derechos de aduana	1
4	4687	3325	no recibí mi pedido ?	mi pedido muestra que no he pagado , pero lo hice	0
5	11529	3463	hola eva a el principio la pregunta . ¿ puedo escribir en alemán ?	¿ cómo puedo escribir comentarios para los productos ?	0
6	9623	2571	estoy tan enojado	abrí una disputa y hasta ahora nada	0
7	6812	12641	no puedo abrir una disputa	no puedo rastrear .	0
8	13576	10140	¿ cómo puedo verificar el número de pedido ?	¿ dónde puedo ver el número de mi rastreador de pedidos ?	0
9	1651	9667	no , necesito una respuesta tuya .	necesito una factura por este artículo que te compré	0
10	7648	5262	cómo responder a una disputa	¿ cómo respondo a los comentarios ?	0
11	6059	10105	no vivo en china , vivo brasil	quiero contacto en vivo ahora	0
12	9494	10209	¿ qué significa su orden será cerrada ?	orden de seguimiento qué significa colección	0
13	13217	9940	cómo intercambiar monedas	¿ cómo cambiar mis monedas por cupón ?	1
14	8948	2459	¿ cómo informo a un vendedor de fraude ?	quiero informar a el vendedor	1
15	8698	11719	hola , quiero comprar algo , pero el vendedor tiene que ajustar el precio , mi sistema funciona automáticamente y no permite que el vendedor se ajuste , por favor ayuda	hola necesito decir te algo sobre mi orden	0
16	3751	12757	¿ cómo puedo saber si mi pedido ha sido enviado ?	¿ cómo puedo saber si mi pedido fue enviado ?	1
17	453	8718	cancelé mi pedido con el vendedor ya	ya pagué mi pedido	0
18	9782	9886	ordené de españa a españa ahora que mandan el pedido de china ?	soy un proveedor de china	0
19	2723	67	quiero hacer compras cómo comprar	vendré a ver te mañana	0
20	3544	4498	hola , vivo en canadá y actualmente estoy rastreando mi paquete y el estado dice que ha llegado a el país de destino pero dice que está en estambul . ¿ mi paquete fue enviado a el país equivocado ?	¿ cuándo puedo recibir mi paquete después de enviar el producto ?	0
21	245	11786	la promoción comenzó , pero ¿ por qué el precio de el producto no cambió ?	¿ por qué el precio de la promoción no se cambia ?	1
22	10945	8412	el número de color era l	¿ cómo puedo ver mi mensaje ?	0
23	979	10451	he hecho todo el seguimiento	tengo una disputa y la compañía no ha hecho nada para resolver el problema	0
24	289	2129	mis formularios y documentos no van	¿ cuándo recibiré mis pedidos ?	0
25	13421	427	cómo hacer un pedido	¿ cómo hago el pedido ?	1
26	10614	11068	imposible unir se a la atención a el cliente de contacto	¿ cómo puedo contactar a el servicio de atención a el cliente ?	1
27	2723	5135	quiero hacer compras cómo comprar	¿ qué es un carrito de compras ?	0
28	6812	10002	no puedo abrir una disputa	no puedo adjuntar una foto para una disputa	0
29	397	3857	mi pedido no está siendo procesado	mi tarjeta de débito no está siendo aceptada	0
30	8849	11938	por favor , el plazo de la protección de compra ha terminado , ¿ puede devolver mi dinero ? ¿ tengo que esperar la disputa ? el error fue a el enviar el sitio , la mercancía no fue enviada a brasil . gracias .	¿ cómo devuelves dinero si los bienes no se reciben ?	1
31	9362	5710	no has iniciado sesión o tu sesión anterior ha expirado . por favor , inicia sesión de nuevo .	¿ por qué dice que el proveedor le ha enviado un mensaje en su pedido ?	0
32	7600	1147	es tu sitio seguro	mi proveedor ha desaparecido de su sitio	0
33	6702	13137	acabo de recibir un correo electrónico que dice que tengo que devolver la batería y pagar el franqueo de devolución para obtener un reembolso , no es mi culpa recibir el artículo incorrecto , por lo tanto , el vendedor debe enviar me un mensaje de vuelta .	recibí un correo electrónico diciendo que tengo un mensaje para mi pedido , pero no hay ninguno .	0
34	12382	5532	ok por favor contácta me con otras personas	¿ puedo contactar a otros compradores ?	0
35	3935	11022	cómo eliminar mensajes en la aplicación	¿ cómo eliminar las cookies ?	0
36	2117	7225	cancelar mi orden	mi vendedor no cancelará mi pedido .	0
37	2990	7313	querida , tengo que pagar una gran cantidad , pero no tengo los comentarios adecuados	¿ cómo consulto a un vendedor si no tiene comentarios ?	0
38	523	1843	han pasado NUMs días y no veo ninguna actualización en mi pedido	¿ por qué no veo ningún registro de mi pedido ?	0
39	5964	7911	¿ cómo extiendo la protección de el comprador ?	¿ cómo puedo ser elegible para la protección de el comprador ?	0
40	8654	10148	hola , me gustaría saber si un vendedor necesita que le envíe de vuelta , ¿ cómo me reembolsa las tarifas de envío más el costo de el vestido , ya que estoy usando el correo registrado en singapur ?	es caro para mí enviar el bien de vuelta	1
41	427	1168	¿ cómo hago el pedido ?	¿ cómo realizo un seguimiento de mi pedido ?	0
42	3931	10814	podría ayudar me	hábla me	0
43	3714	11940	nunca he comprado nada	compré un producto y no he recibido un correo electrónico de confirmación	0
44	2871	11292	cómo subir una foto	no puedo subir documentos	1
45	6434	3422	quiero zapatos más anchos para caminar , el ancho debe ser e , ee , eee , eeee	quiero ser cancelado de todos los corre os electrónicos	0
46	1700	11405	toma demasiado tiempo	cuánto tiempo tardará el envío	0
47	11769	4552	no puedo pagar con transferencia bancaria	estoy tratando de hacer un pago por transferencia bancaria , pero no puedo	1
48	4562	12515	hola , dinero , quiero hacer lo que tengo que hacer , lo que tengo que hacer	¿ qué garantías tengo para comprar aquí ?	0
49	3022	9482	puse la autorización y se aprobó , pero todavía no funciona	cuándo se aprobará el reembolso y cuándo lo recibiré .	0
50	11852	13746	cómo abrir una disputa en la aplicación	¿ cómo puedo abrir una disputa si la orden está completa ?	0
51	3866	6183	por favor lea arriba	¿ cómo puedo leer los comentarios escritos sobre mí ?	0
52	6263	8066	cómo cancelar la disputa ?	¿ cómo cancelo una disputa ?	1
53	3222	9828	el vendedor anuncia un precio incorrecto	el vendedor ha enviado las mercancías en el índice incorrecto	0
54	3152	199	recuperar monedas de la aplicación	¿ cómo recupero un pedido eliminado por error ?	0
55	4662	6550	no puedo usar un cupón u obtener descuento .	¿ cómo puedo obtener el descuento ?	0
56	6585	11100	necesito encontrar mi información de pago	necesito información sobre el pago de western union	0
57	7366	5948	no recibí mi reembolso	¿ por qué no recibí el reembolso ?	1
58	8997	3975	trato el reembolso y devuelvo el producto . el menú es demasiado caro y envío productos a china . ¿ quién soporta el costo de el transporte de bienes ?	¿ puedo enviar mis productos a china ?	0
59	1885	15	quiero ser vendedor	quiero un reembolso completo , pero el vendedor no estará de acuerdo	0
60	10930	12779	otras órdenes llegaron a tiempo	artículo no llegado	1
61	9040	10979	mi preocupación es conocer el progreso de mi pedido .	quiero saber cómo es mi pedido ?	1
62	10991	6014	cómo configurar mi moneda	cómo el convertidor de moneda	0
63	206	11974	quiero el dinero tan pronto como no lo intente de nuevo o compre algo de usted	¿ ofrecen información de envío si compro de usted ?	0
64	2947	13502	hola . me extendí a el servicio de atención a el cliente NUMs veces .	presioné el botón pagar ahora NUMs veces . ¿ que puedo hacer ?	0
65	412	6537	y la razón se debe a la razón de seguridad por la que suspendieron mi cuenta	cómo verificar el motivo de la disputa	0
66	3935	13556	cómo eliminar mensajes en la aplicación	cómo eliminar la orden paga	0
67	4792	5201	cómo subir evidencia en disputa	no sé cómo subir fotos	0
68	1001	11935	¿ puedo chatear con una persona ? robot eva no lo está entendiendo	puedo chatear con una persona real	1
69	5765	13166	necesito un cambio puede enviar un correo electrónico porque no localizo mi correo electrónico y necesito comprar	necesito tu dirección de correo electrónico	0
70	9132	13251	¡ hola ! buenas noches . necesito tu ayuda . no puedo emitir un ticket para pagar una cuenta	necesito tu ayuda anna	0
71	3343	325	por favor borre las cookies en su navegador ?	por favor da me tu correo electrónico de soporte para tu sitio	0
72	1198	10538	no sé el problema	no sé tu sitio web	0
73	11106	4900	y yo también	la tarifa de envío es demasiado alta para mí	0
74	11931	9186	cómo buscar buen vendedor	¿ cómo borrar mi historial de búsqueda ?	0
75	2822	6662	he pagado por mi producto	he pagado	1
76	12500	9296	cómo vincular mi tarjeta ?	no recibí un enlace de verificación en mi correo electrónico	0
77	7006	655	cómo abrir una disputa	¿ cómo abrir el estuche ?	0
78	5580	2839	no me está dando la respuesta correcta necesito los diez artículos principales que vendí en NUMs 	no me responderás .	0
79	12238	2284	quiero comprar algo producto pero no sé cómo pagar dinero	quiero pagar le a el vendedor	1
80	5010	6	cómo dejar comentarios a el vendedor	¿ cómo dejar un comentario anónimo ?	0
81	8661	8238	¿ cómo veo el cupón ?	¿ cómo obtengo un cupón ?	0
82	2534	1069	cuando mi paga sea cancelada	¿ cuándo recibiré mi reembolso por el pedido cancelado ?	0
83	2807	9624	presenté mi apelación hace NUMs días y no tuve ninguna respuesta	envié dinero hace NUMs días y el estado no cambió	0
84	1177	2478	me cobraron por un artículo que pensé que había comprado pero nunca lo recibí y no puedo encontrar rastro de mis pedidos	nunca he recibido el producto comprado	0
85	6805	7076	he ordenado con una dirección de correo electrónico incorrecta	he ingresado una dirección de entrega incorrecta	0
86	2426	13329	quiero cambiar el tamaño	quiero saber el tamaño en brasil	0
87	839	5363	¿ cómo puedo informar a el vendedor de fraude ?	recibí un correo electrónico con un aviso de que el vendedor es sospechoso de un problema de fraude .	0
88	4775	4176	incapaz de encontrar la dirección	incapaz de obtener respuesta de el vendedor	0
89	12451	8674	no tengo un número de seguimiento . estoy tratando de hacer un pedido	estoy tratando de ordenar y no está funcionando	1
90	6677	922	si su pedido muestra ' pedido cancelado ' , significa	pagué un pedido pero sigue mostrando el mismo estado	0
91	8303	11207	leer mi pregunta antes de responder por favor	quiero leer los comentarios escritos sobre mi pedido	0
92	13092	12492	entonces , ¿ dónde puedo encontrar cupones que me intercambió ? ¿ dónde están ?	donde puedo ver mis cupones ?	1
93	9240	3399	pero uso cajero automático	si quiero usar un cupón	0
94	6687	2509	envío rápido de mensajería	hablas muy rápido	0
95	8301	8652	cómo encontrar un vendedor confiable	¿ puedo encontrar un vendedor verificado ?	0
96	3839	4645	alguien más sabe vietnamita ? quiero oder	quiero saber sobre el proceso de western union para comprar	0
97	10667	3469	¿ cómo uso el cupón selecto ?	¿ cómo selecciono la moneda ?	0
98	8855	5512	necesito hablar con el ser humano por favor	quiero hablar con un humano en línea	1
99	10432	8716	cómo hago el pedido	¿ cómo cancelo el pedido congelado ?	0
100	2947	8780	hola . me extendí a el servicio de atención a el cliente NUMs veces .	hasta ahora todavía no he llegado a mi orden	0
101	973	6098	no se puede abrir una cuenta	lo sentimos , su cuenta se ha marcado por algunos motivos y no puede participar en esta promoción .	0
102	992	6318	presento mi apelación y no pasa nada	no puedo enviar mi formulario de disputa	0
103	6673	9605	no recibo el correo electrónico de la orden de protección de compras	no puedo extender el tiempo de protección de una orden	0
104	11766	12587	que hora es en china ?	¿ qué es el tiempo de procesamiento ?	0
105	4732	10502	necesito que confirmes mi tarjeta de crédito	guardé mi tarjeta de crédito pero necesito reemplazar la por una nueva	0
106	5411	5787	¿ tienes un número de teléfono ?	tienes un numero de telefono	1
107	3749	759	hola a el contactar ahora había un icono de chat ahora en el lado izquierdo de la página ahora ya no está	cuando hago clic en pagar ahora , me está llevando a la página de inicio de sesión .	0
108	3299	13660	el tiempo de disputa ha terminado	mi tiempo de procesamiento ha terminado y quiero extender lo .	0
109	5926	9523	quiero enviar el pedido todo a la vez	me gustaría pagar todo el artículo a la vez	0
110	1487	324	estoy bien	estoy en	0
111	13425	22	devuélve me a el operador	cómo convertir la cuenta de el comprador en cuenta de el vendedor ?	0
112	7908	7376	un colega dijo que sería restaurado	pagué un pedido pero decía que todavía está esperando el pago	0
113	3761	185	¿ es esto una jodida computadora ?	¿ eres una persona o una computadora ?	1
114	8687	9399	¿ cómo puedo verificar si un vendedor es confiable ?	¿ cómo reviso mi cupón ?	0
115	6728	7567	¿ contacta a el vendedor ?	no puedo contactar a el vendedor	0
116	6673	1640	no recibo el correo electrónico de la orden de protección de compras	¿ se puede extender mi protección de compra ?	0
117	368	290	después de hacer mi pedido , me dijeron que habría envíos adiciona les porque cambié mi dirección . bueno , no cambié mi dirección . pero , pagué los cargos adiciona les para ver qué	quiero cambiar mi dirección de envío para la orden de logística	0
118	6955	2363	hola , no he podido pagar algunos artículos porque me dice que hay un error que intento más tarde . me puedes ayudar	he escrito a el vendedor de diferentes maneras , pero él todavía me ignora	0
119	2699	9788	el vendedor cambió el método de envío ?	¿ cómo puedo cambiar el método de envío ?	0
120	11136	11155	necesito los diez mejores artículos que se vendieron en NUMs en alta	¿ en qué situación me será reembolsado ?	0
121	2312	8113	quiero confirmar que recibí la mercancía y estoy contento con ella , pero no puedo iniciar sesión	necesito recibir mercancía pronto .	0
122	918	5529	entonces estaba comprando un caso	quiero extender la compra de protección	0
123	10371	12849	¿ puedo ordenar por nombre de la compañía ?	nunca ordenaré de esta compañía otra vez	0
124	5607	3479	hola . quiero enviar un correo a el gerente de ventas . necesito la dirección de correo electrónico .	necesito la dirección de correo electrónico de esta empresa	0
125	12647	13704	si el producto de mi pedido se coloca en europa , y quiero llegar a finlandia . ¿ debo pagar impuestos ?	quiero hacer un pedido .	0
126	12853	437	tengo un problema con ustedes	tengo un problema con un pedido	1
127	7577	11007	cómo cambiar el precio	¿ cómo sabes el precio ?	0
128	10306	6833	¿ a qué hora debo contactar lo para recibir ayuda ?	¿ qué haces en tu tiempo libre ?	0
129	3656	10904	¿ cómo cancelo mi cuenta ?	me gustaría saber cómo cancelar mi cuenta ?	1
130	4253	3045	así que por favor borra mi nueva cuenta .	quiero reactivar mi cuenta por favor ayuda .	0
131	10146	8461	por qué el precio de el producto no cambió	¿ cómo cambio el precio en euros ?	0
132	7908	10706	un colega dijo que sería restaurado	el vendedor dijo que los bienes se perdieron .	0
133	13059	964	no puedo ver el orden en mi auto	¿ por qué no puedo ver mis comentarios ?	0
134	1231	11515	hola , pedí un disfraz de cosplay con la moneda equivocada cancelé el pedido y el vendedor me dijo que se aclaró de inmediato , pero ahora no hay suficiente crédito en la tarjeta ¿ podría amablemente recibir la cantidad lo más rápido posible ? tengo que volver	el vendedor me dijo que cancelara la orden de devolver el dinero . ¿ que puedo hacer ?	0
135	7340	9756	él me lo escribió ayer	el vendedor cambia de operador sin avisar me y ahora quiere que pague cargos adiciona les	0
136	1155	6915	dirección predeterminada	¿ puede el vendedor cambiar la dirección ?	0
137	3749	10726	hola a el contactar ahora había un icono de chat ahora en el lado izquierdo de la página ahora ya no está	¿ cuál es el estado en este momento ?	0
138	9864	10377	es esto un ser humano ?	necesito hablar con un humano	1
139	8479	9993	me gustaría lo más pronto posible	me gustaría chatear en vivo	0
140	3692	7729	entonces esto debe ser una broma , debes estar bromeando .	me confundiste .	0
141	4828	11242	ya le pregunté algo de lo que estoy hablando con una computadora , ¿ no ?	tengo una disputa en progreso pero el vendedor se niega a hablar con mí	0
142	10989	11213	¿ puedo reabrir una disputa ?	¿ puedo reabrir la disputa después de cerrar la ?	0
143	11616	12724	hago clic en el botón pagar ahora y dice cada vez que ha habido errores , así que no puedo pagar mi pedido	he devuelto mi pedido pero el pedido ya se ha completado .	0
144	4458	10948	cada vez que intento pagar el pedido que he realizado , aparece un mensaje de error que indica que , por " motivos de seguridad " , no se pudo ejecutar el pago . ¿ cómo se puede resolver esto ?	recibí un correo electrónico que decía que mi orden fue cancelada por falta de pago	0
145	10146	37	por qué el precio de el producto no cambió	el proveedor cambia el precio de la orden sin mi permiso	0
146	12880	8326	la retroalimentación no se muestra	mi cuenta aparece en español , necesito inglés .	0
147	1436	4068	de acuerdo por favor . o puedo preguntar le a el otro .	puedo preguntar te algo	0
148	9506	6324	solo necesito un reembolso . estoy feliz con esto por favor pague el dinero .	necesito un representante en vivo por favor	0
149	11277	13294	hola , me gustaría saber cómo patrocinar a un amigo .	me gustaría saber los comentarios de un vendedor .	0
150	741	10298	cancelado sin envío	no hay información para mi envío en este momento .	0
151	12281	7932	ven a mi cama	quiero que mi paquete llegue más rápido	0
152	2138	348	el correo electrónico de registro no funciona	recibí el correo electrónico para mi registro , pero no pude ver el enlace de verificación para hacer clic en él .	1
153	11194	6210	no recibo mi pedido	no hables ingles	0
154	2162	5398	¿ puedo usar la tarjeta visa entonces ? si es así , ¿ cómo podría agregar la tarjeta a la información ?	¿ cómo puedo comprar productos si no tengo una tarjeta de visa ?	0
155	3221	10855	cómo pago dinero por mi producto , lo que elijo	¿ cómo elijo los colores que quiero ?	0
156	7385	4194	quiero usar otro método de pago	quiero cancelar un pedido y usar el dinero para pagar otro pedido	0
157	9539	11540	hola eva ! necesito eliminar mi tarjeta de crédito anterior y registrar mi nueva tarjeta de crédito	quiero un reembolso a mi tarjeta de crédito	0
158	7194	4888	me gustaría saber sobre el arancel adicional . ¿ qué es ? ¿ cómo puedo usar ?	recibí un cupón de descuento . me gustaría saber cómo puedo usar lo .	0
159	4988	1956	no he recibido mis bienes	¿ cómo presento una disputa después de recibir mis bienes y el tiempo se agotó ?	0
